Сцена,Описание места действия,Описание кадра,Титры,Персонаж,Действие,Эмоция,Реплика,Звуки,Запись 07.06 (озвучено ли),как срабатывает
Линейное прохождение по сценарию.,,,,,,,,,,
1,Мастерская. В ней находится зона для тестов.,"Кат-сцена от первого лица (ГГ). Вид мастерской, чуть поодаль справа - зона для тестов. ",,ГГ,Стоит почти неподвижно (немного оглядывается).,Спокойная,,Звуки последних щелчков установки Атомайзера на ГГ.,Нет,
,,,,Мастер,Справа за кадром что-то делает с рукой ГГ.,Спокойная,"(себе под нос) Почти готово, да, почти готово!",,Нет,Таймер
2, - Мастерская. В ней находится зона для тестов.,"Кат-сцена от первого лица (ГГ). Вид мастерской, чуть поодаль справа - зона для тестов. Справа из-за кадра появляется Мастер и идет наискосок к зоне для тестов.",,Мастер,"Появляется в кадре справа, смотрит на правую руку ГГ (оценивающе оглядывает свою работу). ",Оценивающая,,Звуки шагов Мастера.,Нет,
,,,,,"Затем смотрит в глаза ГГ, медленно отходя назад, после чего направляется к зоне для тестов и зовет ГГ за собой жестами.",Спокойная,"(герою) Вот, готово. Только посмотри, какая красота. Ради такого стоило соглашаться на этот странный эксперимент с робо-телами, да? А теперь давай-ка посмотрим, увенчались ли наши труды успехом. (через некоторую паузу, нетерпеливо и немного обиженно) Ну долго ты там будешь стоять? (не уверен, что игрок будет так долго идти)",,Нет,Таймер
,,,,ГГ,"Смотрит на Мастера, затем поднимает руку-Атомайзер и оглядывает его.",Спокойная,,,Нет,
3, - Мастерская. В ней находится зона для тестов.,"Управление игроком. Вид мастерской, чуть поодаль справа - зона для тестов.","Чтобы перемещаться, используйте WASD.",ГГ,Опускает руку. Направляется к Мастеру и к зоне для тестов.,Истощенная,Точно заработает? А то я уже порядком устал ждать,Звуки шагов ГГ.,Нет,Таймер
,,,,Мастер,"Стоит и ждет ГГ, поза выражает нетерпение.","Погружен в себя, что-то просчитывает в уме","(немного завороженно) Протестируем, протестируем, должно, должно работать! В конце концов, я же не просто так попал в эту элиту величайших ученых! Да, я тоже кое-что могу, хоть и не физики, которые здесь в таком почете, хехех.",,Нет,Таймер
4, - Мастерская. В ней находится зона для тестов.,Управление игроком. Перед игроком - пустая зона для тестов. Одновременно с репликами Мастера появляются титры.,"Подойдите к кнопке и нажмите F, чтобы с ней взаимодействовать.",Мастер,Стоит на месте и следит за действиями ГГ.,Полон энтузиазма,"Так, а теперь нажимай на кнопку, начнем наш тест!",Звуки шагов ГГ. Звук нажатия на кнопку. Звук появления предмета в тестовой зоне (звук подъемника или падения?).,Нет,Таймер
,,,,ГГ,"Идет к кнопке и нажимает ее. После того, как кнопка нажата, в зоне для тестов появляется предмет среднего размера.",Спокойная,,,Нет,
